serial No,Korean,Math,English,Social Studies,Science,University,Tutoring Period,University_rank,chance of admit
230,88,96,60,91,74,Sungkyunkwan University,1,45,0.54
430,71,74,39,55,78,Sungkyunkwan University,3,45,0.8327989975738317
419,71,81,71,87,92,Sungkyunkwan University,1,45,0.54
287,80,61,60,100,85,Sungkyunkwan University,3,45,0.94
419,71,81,71,87,92,Sungkyunkwan University,1,45,0.54
496,68,71,49,36,70,Sungkyunkwan University,3,45,0.8115642571271143
464,31,54,76,60,82,Sungkyunkwan University,1,45,0.23263032346234394
364,89,62,76,73,72,Sungkyunkwan University,3,45,0.94
430,63,64,51,42,83,Sungkyunkwan University,3,45,0.5683864130476808
439,51,48,64,75,39,Sungkyunkwan University,3,45,0.5077707015364795
318,66,78,75,80,67,Sungkyunkwan University,4,45,0.2899999999999999
292,65,89,84,81,67,Sungkyunkwan University,4,45,0.2899999999999999
439,68,42,61,74,47,Sungkyunkwan University,3,45,0.8150253146639578
288,48,45,68,49,46,Sungkyunkwan University,3,45,0.8178217426152908
346,63,86,83,88,61,Sungkyunkwan University,4,45,0.2899999999999999
496,92,94,67,62,99,Sungkyunkwan University,3,45,1.0
497,82,72,98,78,76,Sungkyunkwan University,2,45,0.79
439,79,71,89,90,67,Sungkyunkwan University,3,45,0.94
326,76,54,72,35,43,Sungkyunkwan University,3,45,0.8105692297736962
430,88,90,62,67,97,Sungkyunkwan University,3,45,1.0
401,60,46,62,39,54,Sungkyunkwan University,1,45,0.27415868884023925
23,44,63,47,74,47,Sungkyunkwan University,2,45,0.3266762842203794
129,78,64,68,82,86,Sungkyunkwan University,2,45,0.69
439,59,61,69,67,57,Sungkyunkwan University,3,45,0.5392639624551804
230,60,80,33,80,47,Sungkyunkwan University,1,45,0.07606440814283799
288,55,39,66,42,34,Sungkyunkwan University,3,45,0.7055875651556098
23,47,69,54,71,56,Sungkyunkwan University,2,45,0.31649578993206806
346,63,86,83,88,61,Sungkyunkwan University,4,45,0.2899999999999999
287,53,34,45,75,56,Sungkyunkwan University,3,45,0.5752388515864212
430,59,71,42,42,86,Sungkyunkwan University,3,45,0.6400333602085777
318,52,68,50,59,44,Sungkyunkwan University,4,45,0.17983990487284812
291,81,45,40,58,67,Sungkyunkwan University,4,45,0.2582169446772026
401,77,65,86,68,77,Sungkyunkwan University,1,45,0.4399999999999999
318,66,78,75,80,67,Sungkyunkwan University,4,45,0.2899999999999999
361,73,73,47,53,46,Sungkyunkwan University,4,45,0.09520565285311977
439,54,45,60,78,56,Sungkyunkwan University,3,45,0.7546596375295485
451,57,83,44,53,79,Sungkyunkwan University,2,45,0.34060319182045395
287,59,37,33,87,71,Sungkyunkwan University,3,45,0.48056951508850143
361,99,87,64,74,63,Sungkyunkwan University,4,45,0.2899999999999999
425,86,86,96,81,91,Sungkyunkwan University,1,45,0.54
497,60,45,78,49,59,Sungkyunkwan University,2,45,0.3838422198730904
411,50,51,61,37,52,Sungkyunkwan University,2,45,0.46902626452766405
23,50,68,45,63,53,Sungkyunkwan University,2,45,0.38420189726616605
346,63,86,83,88,61,Sungkyunkwan University,4,45,0.2899999999999999
50,47,75,69,69,51,Sungkyunkwan University,1,45,0.08698049302997157
425,86,86,96,81,91,Sungkyunkwan University,1,45,0.54
361,99,87,64,74,63,Sungkyunkwan University,4,45,0.2899999999999999
447,92,71,97,65,75,Sungkyunkwan University,3,45,1.0
419,71,81,71,87,92,Sungkyunkwan University,1,45,0.54
346,63,86,83,88,61,Sungkyunkwan University,4,45,0.2899999999999999
84,97,68,88,87,96,Sungkyunkwan University,1,45,0.54
361,75,73,46,48,36,Sungkyunkwan University,4,45,0.11444256909834666
326,88,72,100,62,62,Sungkyunkwan University,3,45,0.94
447,92,71,97,65,75,Sungkyunkwan University,3,45,1.0
425,86,86,96,81,91,Sungkyunkwan University,1,45,0.54
23,64,84,67,92,66,Sungkyunkwan University,2,45,0.69
292,65,89,84,81,67,Sungkyunkwan University,4,45,0.2899999999999999
50,70,88,97,88,63,Sungkyunkwan University,1,45,0.54
288,68,68,91,64,63,Sungkyunkwan University,3,45,0.94
497,54,52,82,63,55,Sungkyunkwan University,2,45,0.44392738792478215
496,92,94,67,62,99,Sungkyunkwan University,3,45,1.0
401,48,39,59,52,48,Sungkyunkwan University,1,45,0.15830679853260882
50,70,88,97,88,63,Sungkyunkwan University,1,45,0.54
84,97,68,88,87,96,Sungkyunkwan University,1,45,0.54
129,78,64,68,82,86,Sungkyunkwan University,2,45,0.69
288,68,68,91,64,63,Sungkyunkwan University,3,45,0.94
129,78,64,68,82,86,Sungkyunkwan University,2,45,0.69
419,48,67,61,67,63,Sungkyunkwan University,1,45,0.2548812291215483
287,80,61,60,100,85,Sungkyunkwan University,3,45,0.94
496,92,94,67,62,99,Sungkyunkwan University,3,45,1.0
464,60,79,90,71,95,Sungkyunkwan University,1,45,0.4399999999999999
326,88,72,100,62,62,Sungkyunkwan University,3,45,0.94
439,56,58,63,64,43,Sungkyunkwan University,3,45,0.5309115997947239
361,99,87,64,74,63,Sungkyunkwan University,4,45,0.2899999999999999
230,88,96,60,91,74,Sungkyunkwan University,1,45,0.54
430,88,90,62,67,97,Sungkyunkwan University,3,45,1.0
425,86,86,96,81,91,Sungkyunkwan University,1,45,0.54
346,63,86,83,88,61,Sungkyunkwan University,4,45,0.2899999999999999
208,39,32,59,71,71,Sungkyunkwan University,1,45,0.29854418938807725
447,77,51,81,52,48,Sungkyunkwan University,3,45,0.6276861934089731
425,86,86,96,81,91,Sungkyunkwan University,1,45,0.54
439,55,56,75,77,47,Sungkyunkwan University,3,45,0.7012738118777289
464,60,79,90,71,95,Sungkyunkwan University,1,45,0.4399999999999999
208,64,61,69,88,84,Sungkyunkwan University,1,45,0.4399999999999999
361,99,87,64,74,63,Sungkyunkwan University,4,45,0.2899999999999999
419,71,81,71,87,92,Sungkyunkwan University,1,45,0.54
208,64,61,69,88,84,Sungkyunkwan University,1,45,0.4399999999999999
425,86,86,96,81,91,Sungkyunkwan University,1,45,0.54
23,64,84,67,92,66,Sungkyunkwan University,2,45,0.69
50,50,69,73,68,51,Sungkyunkwan University,1,45,0.21953475353266055
287,80,61,60,100,85,Sungkyunkwan University,3,45,0.94
464,60,79,90,71,95,Sungkyunkwan University,1,45,0.4399999999999999
419,46,55,54,72,70,Sungkyunkwan University,1,45,0.32280472405162786
326,88,72,100,62,62,Sungkyunkwan University,3,45,0.94
447,80,47,79,41,57,Sungkyunkwan University,3,45,0.7088085894672833
361,99,87,64,74,63,Sungkyunkwan University,4,45,0.2899999999999999
346,63,86,83,88,61,Sungkyunkwan University,4,45,0.2899999999999999
411,77,78,77,60,73,Sungkyunkwan University,2,45,0.69
497,82,72,98,78,76,Sungkyunkwan University,2,45,0.79
287,53,49,34,87,71,Sungkyunkwan University,3,45,0.6255403629153073
291,83,44,50,67,71,Sungkyunkwan University,4,45,0.022120751375431125
451,85,95,69,63,93,Sungkyunkwan University,2,45,0.79
430,88,90,62,67,97,Sungkyunkwan University,3,45,1.0
326,88,72,100,62,62,Sungkyunkwan University,3,45,0.94
447,76,57,76,42,57,Sungkyunkwan University,3,45,0.7078832845107927
419,56,58,60,75,63,Sungkyunkwan University,1,45,0.15545920381474743
496,67,71,56,33,78,Sungkyunkwan University,3,45,0.8919062641946616
346,46,69,72,76,40,Sungkyunkwan University,4,45,0.0
84,97,68,88,87,96,Sungkyunkwan University,1,45,0.54
84,97,68,88,87,96,Sungkyunkwan University,1,45,0.54
50,53,69,74,74,40,Sungkyunkwan University,1,45,0.22317093094704588
23,64,84,67,92,66,Sungkyunkwan University,2,45,0.69
496,79,72,43,42,74,Sungkyunkwan University,3,45,0.7678687410063789
50,70,88,97,88,63,Sungkyunkwan University,1,45,0.54
84,97,68,88,87,96,Sungkyunkwan University,1,45,0.54
497,82,72,98,78,76,Sungkyunkwan University,2,45,0.79
464,40,58,71,50,70,Sungkyunkwan University,1,45,0.2904587839010481
23,52,74,56,72,50,Sungkyunkwan University,2,45,0.5527093985385619
496,75,73,39,48,82,Sungkyunkwan University,3,45,0.5637338275644332
84,73,40,70,60,67,Sungkyunkwan University,1,45,0.2714589041836878
451,85,95,69,63,93,Sungkyunkwan University,2,45,0.79
401,77,65,86,68,77,Sungkyunkwan University,1,45,0.4399999999999999
326,88,72,100,62,62,Sungkyunkwan University,3,45,0.94
361,71,60,53,58,38,Sungkyunkwan University,4,45,0.0
411,77,78,77,60,73,Sungkyunkwan University,2,45,0.69
346,36,58,55,61,47,Sungkyunkwan University,4,45,0.0
208,43,41,55,72,55,Sungkyunkwan University,1,45,0.28380198873428863
361,99,87,64,74,63,Sungkyunkwan University,4,45,0.2899999999999999
229,74,64,56,45,37,KAIST,1,46,0.1868099952444523
97,92,86,87,75,84,KAIST,4,46,0.39
467,78,87,92,70,79,KAIST,2,46,0.79
112,60,62,62,63,92,KAIST,4,46,0.1899999999999999
112,60,62,62,63,92,KAIST,4,46,0.1899999999999999
96,84,70,70,40,64,KAIST,3,46,0.6144780880051045
280,96,61,70,64,70,KAIST,4,46,0.2899999999999999
267,81,68,74,67,81,KAIST,2,46,0.69
183,58,46,66,52,81,KAIST,4,46,0.0
444,73,70,49,44,44,KAIST,1,46,0.2894475063210669
280,72,37,48,44,57,KAIST,4,46,0.0
240,72,83,51,38,53,KAIST,2,46,0.35469866735011646
243,35,63,53,55,38,KAIST,1,46,0.06831887439821732
267,81,68,74,67,81,KAIST,2,46,0.69
96,100,85,99,69,74,KAIST,3,46,1.0
98,76,62,86,86,82,KAIST,1,46,0.4399999999999999
98,76,62,86,86,82,KAIST,1,46,0.4399999999999999
359,87,99,65,79,70,KAIST,4,46,0.39
240,74,81,52,53,56,KAIST,2,46,0.29103291606020654
96,100,85,99,69,74,KAIST,3,46,1.0
183,69,71,76,70,100,KAIST,4,46,0.2899999999999999
98,76,62,86,86,82,KAIST,1,46,0.4399999999999999
26,42,62,64,82,79,KAIST,2,46,0.5693789825990374
280,96,61,70,64,70,KAIST,4,46,0.2899999999999999
157,72,71,77,64,61,KAIST,3,46,0.8400000000000001
359,72,83,37,54,49,KAIST,4,46,0.14376005412393514
157,72,71,77,64,61,KAIST,3,46,0.8400000000000001
280,85,46,59,37,52,KAIST,4,46,0.0
26,68,77,84,99,89,KAIST,2,46,0.79
43,41,38,71,62,79,KAIST,2,46,0.5100268924531219
229,65,72,61,52,33,KAIST,1,46,0.15648890663847254
280,71,33,43,39,53,KAIST,4,46,0.0
229,92,84,75,64,62,KAIST,1,46,0.4399999999999999
267,81,68,74,67,81,KAIST,2,46,0.69
421,67,66,61,83,100,KAIST,2,46,0.69
112,33,52,33,41,68,KAIST,4,46,0.0
203,93,83,67,62,71,KAIST,2,46,0.69
359,87,99,65,79,70,KAIST,4,46,0.39
203,93,83,67,62,71,KAIST,2,46,0.69
240,100,94,80,66,77,KAIST,2,46,0.79
229,92,84,75,64,62,KAIST,1,46,0.4399999999999999
112,60,62,62,63,92,KAIST,4,46,0.1899999999999999
280,96,61,70,64,70,KAIST,4,46,0.2899999999999999
444,87,85,67,72,70,KAIST,1,46,0.4399999999999999
280,96,61,70,64,70,KAIST,4,46,0.2899999999999999
97,92,86,87,75,84,KAIST,4,46,0.39
203,80,56,45,38,53,KAIST,2,46,0.5392090088577738
444,87,85,67,72,70,KAIST,1,46,0.4399999999999999
183,69,71,76,70,100,KAIST,4,46,0.2899999999999999
203,93,83,67,62,71,KAIST,2,46,0.69
243,61,80,67,69,65,KAIST,1,46,0.3399999999999999
183,58,57,58,41,73,KAIST,4,46,0.0
98,58,48,62,67,72,KAIST,1,46,0.1121327092702405
112,60,62,62,63,92,KAIST,4,46,0.1899999999999999
474,83,75,69,98,64,KAIST,2,46,0.69
229,92,84,75,64,62,KAIST,1,46,0.4399999999999999
203,77,69,52,37,57,KAIST,2,46,0.32375545040974774
26,68,77,84,99,89,KAIST,2,46,0.79
2,75,82,88,88,80,KAIST,3,46,1.0
229,72,72,54,42,39,KAIST,1,46,0.32614063903554436
359,58,70,52,67,58,KAIST,4,46,0.0
183,69,71,76,70,100,KAIST,4,46,0.2899999999999999
43,69,65,93,89,99,KAIST,2,46,0.79
444,67,73,41,53,51,KAIST,1,46,0.0
474,83,75,69,98,64,KAIST,2,46,0.69
203,93,83,67,62,71,KAIST,2,46,0.69
97,92,86,87,75,84,KAIST,4,46,0.39
240,100,94,80,66,77,KAIST,2,46,0.79
359,87,99,65,79,70,KAIST,4,46,0.39
183,69,71,76,70,100,KAIST,4,46,0.2899999999999999
112,60,62,62,63,92,KAIST,4,46,0.1899999999999999
43,69,65,93,89,99,KAIST,2,46,0.79
229,92,84,75,64,62,KAIST,1,46,0.4399999999999999
421,67,66,61,83,100,KAIST,2,46,0.69
359,61,81,37,55,46,KAIST,4,46,0.08356903268345961
474,83,75,69,98,64,KAIST,2,46,0.69
421,67,66,61,83,100,KAIST,2,46,0.69
267,81,68,74,67,81,KAIST,2,46,0.69
267,57,52,52,49,59,KAIST,2,46,0.4547577727855243
421,52,43,46,55,72,KAIST,2,46,0.19762710226920732
421,67,66,61,83,100,KAIST,2,46,0.69
97,69,67,74,60,72,KAIST,4,46,0.0
467,78,87,92,70,79,KAIST,2,46,0.79
267,81,68,74,67,81,KAIST,2,46,0.69
243,61,80,67,69,65,KAIST,1,46,0.3399999999999999
26,68,77,84,99,89,KAIST,2,46,0.79
96,100,85,99,69,74,KAIST,3,46,1.0
203,93,83,67,62,71,KAIST,2,46,0.69
267,81,68,74,67,81,KAIST,2,46,0.69
157,72,71,77,64,61,KAIST,3,46,0.8400000000000001
98,60,38,75,70,54,KAIST,1,46,0.0
467,78,87,92,70,79,KAIST,2,46,0.79
183,69,71,76,70,100,KAIST,4,46,0.2899999999999999
96,79,71,80,51,63,KAIST,3,46,0.6992242886094754
97,75,61,62,56,65,KAIST,4,46,0.0238215335639802
229,63,64,48,38,50,KAIST,1,46,0.22215555521050526
43,69,65,93,89,99,KAIST,2,46,0.79
280,96,61,70,64,70,KAIST,4,46,0.2899999999999999
243,61,80,67,69,65,KAIST,1,46,0.3399999999999999
444,64,73,48,52,43,KAIST,1,46,0.3305626685954428
98,62,40,59,75,57,KAIST,1,46,0.10459204785627102
98,48,48,67,58,57,KAIST,1,46,0.3214444920854118
203,80,54,51,33,60,KAIST,2,46,0.4566242313605432
359,87,99,65,79,70,KAIST,4,46,0.39
2,75,82,88,88,80,KAIST,3,46,1.0
97,92,86,87,75,84,KAIST,4,46,0.39
43,69,65,93,89,99,KAIST,2,46,0.79
444,87,85,67,72,70,KAIST,1,46,0.4399999999999999
157,57,45,56,51,44,KAIST,3,46,0.5826680996606435
43,69,65,93,89,99,KAIST,2,46,0.79
26,68,77,84,99,89,KAIST,2,46,0.79
96,100,85,99,69,74,KAIST,3,46,1.0
157,72,71,77,64,61,KAIST,3,46,0.8400000000000001
467,78,87,92,70,79,KAIST,2,46,0.79
359,77,72,38,54,41,KAIST,4,46,0.2019853259734008
2,75,82,88,88,80,KAIST,3,46,1.0
474,83,75,69,98,64,KAIST,2,46,0.69
467,57,74,64,41,58,KAIST,2,46,0.5339775986331473
98,76,62,86,86,82,KAIST,1,46,0.4399999999999999
96,100,85,99,69,74,KAIST,3,46,1.0
444,87,85,67,72,70,KAIST,1,46,0.4399999999999999
43,54,54,66,74,82,KAIST,2,46,0.4938225532207441
243,61,80,67,69,65,KAIST,1,46,0.3399999999999999
240,100,94,80,66,77,KAIST,2,46,0.79
98,76,62,86,86,82,KAIST,1,46,0.4399999999999999
474,83,75,69,98,64,KAIST,2,46,0.69
96,100,85,99,69,74,KAIST,3,46,1.0
474,83,75,69,98,64,KAIST,2,46,0.69
98,76,62,86,86,82,KAIST,1,46,0.4399999999999999
421,56,38,39,72,75,KAIST,2,46,0.4933772295624984
97,69,70,61,50,59,KAIST,4,46,0.07369906128553305
183,51,59,58,55,82,KAIST,4,46,0.1076310954885461
97,92,86,87,75,84,KAIST,4,46,0.39
280,81,36,45,37,60,KAIST,4,46,0.0
421,67,66,61,83,100,KAIST,2,46,0.69
112,42,42,40,36,79,KAIST,4,46,0.0
359,59,77,50,60,48,KAIST,4,46,0.21554988876139486
183,49,55,49,41,75,KAIST,4,46,0.08193432141687965
267,81,68,74,67,81,KAIST,2,46,0.69
96,100,85,99,69,74,KAIST,3,46,1.0
243,33,62,38,59,48,KAIST,1,46,0.13314093829301363
243,61,80,67,69,65,KAIST,1,46,0.3399999999999999
444,59,60,55,60,46,KAIST,1,46,0.33226447832487027
2,75,82,88,88,80,KAIST,3,46,1.0
421,40,53,42,69,85,KAIST,2,46,0.23032204349848606
98,52,46,63,74,71,KAIST,1,46,0.06743065474629412
203,93,83,67,62,71,KAIST,2,46,0.69
157,58,60,59,54,41,KAIST,3,46,0.502786890007638
240,100,94,80,66,77,KAIST,2,46,0.79
96,100,85,99,69,74,KAIST,3,46,1.0
112,60,62,62,63,92,KAIST,4,46,0.1899999999999999
467,67,74,64,55,67,KAIST,2,46,0.35888976821306595
112,60,62,62,63,92,KAIST,4,46,0.1899999999999999
243,40,64,53,41,55,KAIST,1,46,0.2244441180835025
229,92,84,75,64,62,KAIST,1,46,0.4399999999999999
240,100,94,80,66,77,KAIST,2,46,0.79
421,67,66,61,83,100,KAIST,2,46,0.69
243,61,80,67,69,65,KAIST,1,46,0.3399999999999999
474,83,75,69,98,64,KAIST,2,46,0.69
359,67,78,41,52,42,KAIST,4,46,0.0
43,69,65,93,89,99,KAIST,2,46,0.79
240,100,94,80,66,77,KAIST,2,46,0.79
444,67,59,49,62,56,KAIST,1,46,0.19229512865542125
399,70,91,67,96,98,Hanyang University,1,44,0.54
495,62,61,82,77,73,Hanyang University,1,44,0.4399999999999999
122,82,48,47,50,53,Hanyang University,2,44,0.19853363081806152
204,59,61,41,68,60,Hanyang University,4,44,0.21282025737257088
299,55,48,76,65,85,Hanyang University,2,44,0.6155189479965093
120,86,82,75,97,92,Hanyang University,3,44,1.0
130,82,67,85,98,72,Hanyang University,4,44,0.39
115,72,89,93,63,78,Hanyang University,2,44,0.69
204,76,86,60,93,89,Hanyang University,4,44,0.39
299,83,71,95,79,100,Hanyang University,2,44,0.79
337,90,92,98,96,72,Hanyang University,3,44,1.0
299,83,71,95,79,100,Hanyang University,2,44,0.79
76,60,72,91,98,86,Hanyang University,2,44,0.79
495,62,61,82,77,73,Hanyang University,1,44,0.4399999999999999
172,100,66,93,91,98,Hanyang University,1,44,0.54
363,61,77,63,43,59,Hanyang University,1,44,0.15905076104888027
337,90,92,98,96,72,Hanyang University,3,44,1.0
363,76,97,90,68,82,Hanyang University,1,44,0.54
115,72,89,93,63,78,Hanyang University,2,44,0.69
120,86,82,75,97,92,Hanyang University,3,44,1.0
120,86,82,75,97,92,Hanyang University,3,44,1.0
434,63,70,69,83,92,Hanyang University,1,44,0.4399999999999999
115,60,66,78,40,56,Hanyang University,2,44,0.20032390646721787
204,76,86,60,93,89,Hanyang University,4,44,0.39
199,65,81,96,67,95,Hanyang University,3,44,1.0
177,65,75,78,68,86,Hanyang University,4,44,0.2899999999999999
120,86,82,75,97,92,Hanyang University,3,44,1.0
115,43,68,69,52,54,Hanyang University,2,44,0.21943655163377296
115,72,89,93,63,78,Hanyang University,2,44,0.69
48,80,70,91,61,88,Hanyang University,2,44,0.69
495,62,61,82,77,73,Hanyang University,1,44,0.4399999999999999
199,65,81,96,67,95,Hanyang University,3,44,1.0
122,99,64,74,72,82,Hanyang University,2,44,0.69
399,70,91,67,96,98,Hanyang University,1,44,0.54
363,76,97,90,68,82,Hanyang University,1,44,0.54
199,65,81,96,67,95,Hanyang University,3,44,1.0
199,65,81,96,67,95,Hanyang University,3,44,1.0
120,68,55,57,78,79,Hanyang University,3,44,0.6431194172518452
122,99,64,74,72,82,Hanyang University,2,44,0.69
177,65,75,78,68,86,Hanyang University,4,44,0.2899999999999999
100,81,56,70,48,56,Hanyang University,2,44,0.3646098118061708
122,99,64,74,72,82,Hanyang University,2,44,0.69
120,58,69,46,73,66,Hanyang University,3,44,0.7481701118382333
204,53,57,40,80,74,Hanyang University,4,44,0.2745466270361119
363,76,97,90,68,82,Hanyang University,1,44,0.54
130,70,45,62,77,60,Hanyang University,4,44,0.12868767730180997
199,65,81,96,67,95,Hanyang University,3,44,1.0
122,99,64,74,72,82,Hanyang University,2,44,0.69
177,65,75,78,68,86,Hanyang University,4,44,0.2899999999999999
495,33,44,63,63,45,Hanyang University,1,44,0.3094790110858412
337,90,92,98,96,72,Hanyang University,3,44,1.0
199,65,81,96,67,95,Hanyang University,3,44,1.0
172,80,52,66,65,85,Hanyang University,1,44,0.3346175141301322
299,83,71,95,79,100,Hanyang University,2,44,0.79
76,60,72,91,98,86,Hanyang University,2,44,0.79
100,89,51,85,49,47,Hanyang University,2,44,0.614023792761592
120,64,58,60,85,76,Hanyang University,3,44,0.8157269510666747
495,62,61,82,77,73,Hanyang University,1,44,0.4399999999999999
122,99,64,74,72,82,Hanyang University,2,44,0.69
120,66,54,52,81,69,Hanyang University,3,44,0.6793266107555993
76,60,72,91,98,86,Hanyang University,2,44,0.79
177,65,75,78,68,86,Hanyang University,4,44,0.2899999999999999
122,99,64,74,72,82,Hanyang University,2,44,0.69
177,53,59,65,55,62,Hanyang University,4,44,0.1698209163014513
115,72,89,93,63,78,Hanyang University,2,44,0.69
204,76,86,60,93,89,Hanyang University,4,44,0.39
204,76,86,60,93,89,Hanyang University,4,44,0.39
115,72,89,93,63,78,Hanyang University,2,44,0.69
434,63,70,69,83,92,Hanyang University,1,44,0.4399999999999999
100,100,71,96,76,75,Hanyang University,2,44,0.79
399,50,66,38,68,81,Hanyang University,1,44,0.2279433035237976
130,82,67,85,98,72,Hanyang University,4,44,0.39
100,100,71,96,76,75,Hanyang University,2,44,0.79
48,57,60,69,39,70,Hanyang University,2,44,0.4250913582948803
76,48,51,70,73,58,Hanyang University,2,44,0.5066329549346308
76,60,72,91,98,86,Hanyang University,2,44,0.79
209,59,79,85,62,83,Hanyang University,3,44,0.6472215968357172
299,83,71,95,79,100,Hanyang University,2,44,0.79
399,70,91,67,96,98,Hanyang University,1,44,0.54
130,82,67,85,98,72,Hanyang University,4,44,0.39
115,72,89,93,63,78,Hanyang University,2,44,0.69
199,65,81,96,67,95,Hanyang University,3,44,1.0
172,100,66,93,91,98,Hanyang University,1,44,0.54
209,76,95,96,80,98,Hanyang University,3,44,1.0
76,60,72,91,98,86,Hanyang University,2,44,0.79
489,89,66,90,73,81,Hanyang University,2,44,0.69
199,65,81,96,67,95,Hanyang University,3,44,1.0
48,70,51,79,34,71,Hanyang University,2,44,0.5313696229155174
172,78,43,74,75,86,Hanyang University,1,44,0.3452243284287115
399,45,63,52,80,71,Hanyang University,1,44,0.2657031319896299
204,76,86,60,93,89,Hanyang University,4,44,0.39
76,60,72,91,98,86,Hanyang University,2,44,0.79
204,60,63,48,70,60,Hanyang University,4,44,0.23670994084777486
299,83,71,95,79,100,Hanyang University,2,44,0.79
399,53,69,39,69,69,Hanyang University,1,44,0.15749513593318476
209,60,70,83,54,88,Hanyang University,3,44,0.6917957423543317
130,65,45,66,77,43,Hanyang University,4,44,0.0
199,65,81,96,67,95,Hanyang University,3,44,1.0
100,100,71,96,76,75,Hanyang University,2,44,0.79
204,48,62,33,82,65,Hanyang University,4,44,0.25989366068409514
120,86,82,75,97,92,Hanyang University,3,44,1.0
299,83,71,95,79,100,Hanyang University,2,44,0.79
172,100,66,93,91,98,Hanyang University,1,44,0.54
495,44,36,54,55,47,Hanyang University,1,44,0.21961140086908945
48,80,70,91,61,88,Hanyang University,2,44,0.69
172,100,66,93,91,98,Hanyang University,1,44,0.54
495,62,61,82,77,73,Hanyang University,1,44,0.4399999999999999
172,100,66,93,91,98,Hanyang University,1,44,0.54
172,79,55,72,68,70,Hanyang University,1,44,0.36687753066740514
48,80,70,91,61,88,Hanyang University,2,44,0.69
172,100,66,93,91,98,Hanyang University,1,44,0.54
122,99,64,74,72,82,Hanyang University,2,44,0.69
489,77,55,72,47,64,Hanyang University,2,44,0.46627375416472694
489,89,66,90,73,81,Hanyang University,2,44,0.69
495,51,41,60,56,46,Hanyang University,1,44,0.23238133156052948
100,100,71,96,76,75,Hanyang University,2,44,0.79
209,76,95,96,80,98,Hanyang University,3,44,1.0
489,89,66,90,73,81,Hanyang University,2,44,0.69
120,86,82,75,97,92,Hanyang University,3,44,1.0
120,66,53,56,73,65,Hanyang University,3,44,0.7868713284160849
172,73,49,65,79,82,Hanyang University,1,44,0.23742880748273154
115,72,89,93,63,78,Hanyang University,2,44,0.69
204,76,86,60,93,89,Hanyang University,4,44,0.39
172,84,47,81,66,69,Hanyang University,1,44,0.08968212579285084
177,65,75,78,68,86,Hanyang University,4,44,0.2899999999999999
120,86,82,75,97,92,Hanyang University,3,44,1.0
363,64,76,79,54,58,Hanyang University,1,44,0.2302766119513019
100,78,58,86,60,65,Hanyang University,2,44,0.563294640367026
434,63,70,69,83,92,Hanyang University,1,44,0.4399999999999999
363,76,97,90,68,82,Hanyang University,1,44,0.54
76,60,72,91,98,86,Hanyang University,2,44,0.79
76,60,72,91,98,86,Hanyang University,2,44,0.79
48,80,70,91,61,88,Hanyang University,2,44,0.69
363,62,82,73,54,67,Hanyang University,1,44,0.2948582540399055
122,99,64,74,72,82,Hanyang University,2,44,0.69
130,62,53,69,77,55,Hanyang University,4,44,0.06386182445443067
