serial No,Korean,Math,English,Inquiry 1,Inquiry 2,University,Tutoring Period,University_rank,chance of admit
439,8,4,3,4,5,Sungkyunkwan University,3,45,0.94
326,6,1,8,6,6,Sungkyunkwan University,3,45,0.8105692297736962
430,9,3,8,1,3,Sungkyunkwan University,3,45,1.0
401,6,6,9,6,4,Sungkyunkwan University,1,45,0.2741586888402392
23,2,4,8,2,9,Sungkyunkwan University,2,45,0.3266762842203794
129,5,1,6,4,8,Sungkyunkwan University,2,45,0.69
439,7,1,5,2,3,Sungkyunkwan University,3,45,0.5392639624551804
230,2,2,3,3,1,Sungkyunkwan University,1,45,0.0760644081428379
288,3,7,9,2,3,Sungkyunkwan University,3,45,0.7055875651556098
23,8,6,7,3,3,Sungkyunkwan University,2,45,0.316495789932068
346,2,4,3,9,9,Sungkyunkwan University,4,45,0.2899999999999999
287,4,3,3,9,1,Sungkyunkwan University,3,45,0.5752388515864212
430,6,4,5,5,3,Sungkyunkwan University,3,45,0.6400333602085777
318,9,1,8,2,3,Sungkyunkwan University,4,45,0.1798399048728481
291,3,6,9,6,4,Sungkyunkwan University,4,45,0.2582169446772026
401,4,1,7,4,2,Sungkyunkwan University,1,45,0.4399999999999999
318,6,7,9,5,5,Sungkyunkwan University,4,45,0.2899999999999999
361,5,3,2,7,5,Sungkyunkwan University,4,45,0.0952056528531197
439,9,8,3,2,3,Sungkyunkwan University,3,45,0.7546596375295485
451,5,6,5,5,9,Sungkyunkwan University,2,45,0.3406031918204539
287,7,6,5,4,2,Sungkyunkwan University,3,45,0.4805695150885014
361,4,1,7,2,4,Sungkyunkwan University,4,45,0.2899999999999999
425,3,3,6,3,1,Sungkyunkwan University,1,45,0.54
497,9,3,7,9,7,Sungkyunkwan University,2,45,0.3838422198730904
411,5,4,6,3,5,Sungkyunkwan University,2,45,0.469026264527664
23,3,1,8,9,9,Sungkyunkwan University,2,45,0.384201897266166
346,4,6,1,3,7,Sungkyunkwan University,4,45,0.2899999999999999
50,9,8,4,4,8,Sungkyunkwan University,1,45,0.0869804930299715
425,9,2,9,7,2,Sungkyunkwan University,1,45,0.54
361,3,8,4,8,8,Sungkyunkwan University,4,45,0.2899999999999999
447,1,8,5,7,8,Sungkyunkwan University,3,45,1.0
419,6,4,1,8,9,Sungkyunkwan University,1,45,0.54
346,2,9,6,6,3,Sungkyunkwan University,4,45,0.2899999999999999
84,3,2,6,8,8,Sungkyunkwan University,1,45,0.54
361,7,5,5,3,6,Sungkyunkwan University,4,45,0.1144425690983466
326,1,4,7,1,4,Sungkyunkwan University,3,45,0.94
447,9,4,2,5,4,Sungkyunkwan University,3,45,1.0
425,6,1,6,4,6,Sungkyunkwan University,1,45,0.54
23,8,4,6,5,6,Sungkyunkwan University,2,45,0.69
292,9,6,2,3,3,Sungkyunkwan University,4,45,0.2899999999999999
50,7,8,3,6,8,Sungkyunkwan University,1,45,0.54
288,1,7,9,7,7,Sungkyunkwan University,3,45,0.94
497,2,6,7,1,7,Sungkyunkwan University,2,45,0.4439273879247821
496,7,8,6,1,4,Sungkyunkwan University,3,45,1.0
401,8,6,7,1,6,Sungkyunkwan University,1,45,0.1583067985326088
50,9,7,5,5,2,Sungkyunkwan University,1,45,0.54
84,8,6,1,5,3,Sungkyunkwan University,1,45,0.54
129,7,1,4,6,6,Sungkyunkwan University,2,45,0.69
288,5,3,8,3,7,Sungkyunkwan University,3,45,0.94
129,3,9,3,8,2,Sungkyunkwan University,2,45,0.69
419,3,7,5,3,5,Sungkyunkwan University,1,45,0.2548812291215483
287,3,2,9,7,2,Sungkyunkwan University,3,45,0.94
496,5,2,2,6,9,Sungkyunkwan University,3,45,1.0
464,6,9,6,6,7,Sungkyunkwan University,1,45,0.4399999999999999
326,5,4,7,7,8,Sungkyunkwan University,3,45,0.94
439,3,9,9,8,6,Sungkyunkwan University,3,45,0.5309115997947239
361,3,6,9,7,2,Sungkyunkwan University,4,45,0.2899999999999999
230,1,3,5,7,2,Sungkyunkwan University,1,45,0.54
430,3,2,2,3,9,Sungkyunkwan University,3,45,1.0
425,2,4,2,4,6,Sungkyunkwan University,1,45,0.54
346,6,5,9,3,6,Sungkyunkwan University,4,45,0.2899999999999999
208,3,2,6,1,9,Sungkyunkwan University,1,45,0.2985441893880772
447,6,1,2,3,6,Sungkyunkwan University,3,45,0.6276861934089731
425,8,2,8,4,4,Sungkyunkwan University,1,45,0.54
439,3,4,6,3,9,Sungkyunkwan University,3,45,0.7012738118777289
464,7,9,7,9,6,Sungkyunkwan University,1,45,0.4399999999999999
208,2,5,5,6,1,Sungkyunkwan University,1,45,0.4399999999999999
361,9,5,1,6,9,Sungkyunkwan University,4,45,0.2899999999999999
419,2,9,3,2,1,Sungkyunkwan University,1,45,0.54
208,2,4,6,2,2,Sungkyunkwan University,1,45,0.4399999999999999
425,8,4,5,9,8,Sungkyunkwan University,1,45,0.54
23,2,2,2,4,3,Sungkyunkwan University,2,45,0.69
50,1,1,9,5,3,Sungkyunkwan University,1,45,0.2195347535326605
287,5,9,3,8,5,Sungkyunkwan University,3,45,0.94
464,1,2,7,6,4,Sungkyunkwan University,1,45,0.4399999999999999
419,1,1,6,2,7,Sungkyunkwan University,1,45,0.3228047240516278
326,6,4,9,7,7,Sungkyunkwan University,3,45,0.94
447,5,9,6,3,1,Sungkyunkwan University,3,45,0.7088085894672833
361,6,4,3,3,9,Sungkyunkwan University,4,45,0.2899999999999999
346,2,9,5,2,8,Sungkyunkwan University,4,45,0.2899999999999999
411,3,3,4,9,7,Sungkyunkwan University,2,45,0.69
497,5,4,6,3,3,Sungkyunkwan University,2,45,0.79
287,5,8,2,8,1,Sungkyunkwan University,3,45,0.6255403629153073
291,2,2,5,2,1,Sungkyunkwan University,4,45,0.0221207513754311
451,8,9,4,1,5,Sungkyunkwan University,2,45,0.79
430,5,9,6,4,6,Sungkyunkwan University,3,45,1.0
326,9,1,2,3,6,Sungkyunkwan University,3,45,0.94
447,4,4,3,6,5,Sungkyunkwan University,3,45,0.7078832845107927
419,2,3,6,6,8,Sungkyunkwan University,1,45,0.1554592038147474
496,1,4,9,1,1,Sungkyunkwan University,3,45,0.8919062641946616
346,1,5,4,9,7,Sungkyunkwan University,4,45,0.0
84,6,5,9,7,4,Sungkyunkwan University,1,45,0.54
84,9,9,3,8,9,Sungkyunkwan University,1,45,0.54
50,8,8,8,2,1,Sungkyunkwan University,1,45,0.2231709309470458
23,1,9,6,4,2,Sungkyunkwan University,2,45,0.69
496,8,1,6,8,6,Sungkyunkwan University,3,45,0.7678687410063789
50,2,5,6,7,8,Sungkyunkwan University,1,45,0.54
84,7,5,5,9,9,Sungkyunkwan University,1,45,0.54
497,3,7,4,9,8,Sungkyunkwan University,2,45,0.79
464,3,7,9,6,8,Sungkyunkwan University,1,45,0.2904587839010481
23,9,4,6,1,9,Sungkyunkwan University,2,45,0.5527093985385619
496,6,2,8,8,8,Sungkyunkwan University,3,45,0.5637338275644332
84,2,6,6,9,6,Sungkyunkwan University,1,45,0.2714589041836878
451,2,6,6,4,8,Sungkyunkwan University,2,45,0.79
401,3,7,8,8,8,Sungkyunkwan University,1,45,0.4399999999999999
326,8,5,8,5,7,Sungkyunkwan University,3,45,0.94
361,2,1,5,8,9,Sungkyunkwan University,4,45,0.0
411,3,6,3,9,2,Sungkyunkwan University,2,45,0.69
346,1,3,1,5,1,Sungkyunkwan University,4,45,0.0
208,3,9,9,7,3,Sungkyunkwan University,1,45,0.2838019887342886
361,9,2,9,8,1,Sungkyunkwan University,4,45,0.2899999999999999
229,9,3,1,6,3,KAIST,1,46,0.1868099952444523
97,8,1,8,6,7,KAIST,4,46,0.39
467,7,5,9,7,4,KAIST,2,46,0.79
112,2,9,9,1,1,KAIST,4,46,0.1899999999999999
112,9,2,8,8,7,KAIST,4,46,0.1899999999999999
96,6,4,8,3,6,KAIST,3,46,0.6144780880051045
280,8,7,4,5,7,KAIST,4,46,0.2899999999999999
267,8,9,1,1,3,KAIST,2,46,0.69
183,5,2,2,5,3,KAIST,4,46,0.0
444,2,8,5,2,8,KAIST,1,46,0.2894475063210669
280,2,2,4,4,7,KAIST,4,46,0.0
240,3,6,4,8,9,KAIST,2,46,0.3546986673501164
243,8,1,4,9,6,KAIST,1,46,0.0683188743982173
267,7,8,5,3,7,KAIST,2,46,0.69
96,2,7,5,4,1,KAIST,3,46,1.0
98,4,9,1,4,4,KAIST,1,46,0.4399999999999999
98,3,2,2,9,9,KAIST,1,46,0.4399999999999999
359,1,3,6,9,1,KAIST,4,46,0.39
240,1,6,6,3,7,KAIST,2,46,0.2910329160602065
96,5,8,2,3,2,KAIST,3,46,1.0
183,5,6,2,5,5,KAIST,4,46,0.2899999999999999
98,8,2,1,3,6,KAIST,1,46,0.4399999999999999
26,7,3,7,5,6,KAIST,2,46,0.5693789825990374
280,1,5,2,9,5,KAIST,4,46,0.2899999999999999
157,9,5,6,3,3,KAIST,3,46,0.8400000000000001
359,4,4,7,2,2,KAIST,4,46,0.1437600541239351
157,2,1,6,8,3,KAIST,3,46,0.8400000000000001
280,5,6,8,9,6,KAIST,4,46,0.0
26,1,4,7,3,8,KAIST,2,46,0.79
43,9,1,4,1,4,KAIST,2,46,0.5100268924531219
229,2,8,3,6,5,KAIST,1,46,0.1564889066384725
280,7,7,6,8,5,KAIST,4,46,0.0
229,8,8,3,8,9,KAIST,1,46,0.4399999999999999
267,5,5,8,5,5,KAIST,2,46,0.69
421,8,5,4,1,7,KAIST,2,46,0.69
112,8,4,9,9,1,KAIST,4,46,0.0
203,2,6,9,8,3,KAIST,2,46,0.69
359,3,1,8,5,2,KAIST,4,46,0.39
203,2,3,5,7,2,KAIST,2,46,0.69
240,4,2,5,9,8,KAIST,2,46,0.79
229,6,3,3,6,2,KAIST,1,46,0.4399999999999999
112,9,3,8,6,9,KAIST,4,46,0.1899999999999999
280,1,2,8,8,2,KAIST,4,46,0.2899999999999999
444,1,7,5,6,9,KAIST,1,46,0.4399999999999999
280,7,7,9,7,6,KAIST,4,46,0.2899999999999999
97,6,2,7,3,1,KAIST,4,46,0.39
203,7,5,7,4,1,KAIST,2,46,0.5392090088577738
444,3,7,2,5,8,KAIST,1,46,0.4399999999999999
183,1,7,9,6,1,KAIST,4,46,0.2899999999999999
203,2,4,7,6,2,KAIST,2,46,0.69
243,9,6,5,7,3,KAIST,1,46,0.3399999999999999
183,9,4,5,4,4,KAIST,4,46,0.0
98,5,8,3,4,2,KAIST,1,46,0.1121327092702405
112,5,8,6,2,3,KAIST,4,46,0.1899999999999999
474,7,2,6,9,7,KAIST,2,46,0.69
229,7,2,4,7,5,KAIST,1,46,0.4399999999999999
203,4,3,5,2,7,KAIST,2,46,0.3237554504097477
26,8,9,1,9,1,KAIST,2,46,0.79
2,2,1,6,3,7,KAIST,3,46,1.0
229,1,6,9,1,9,KAIST,1,46,0.3261406390355443
359,4,1,4,4,2,KAIST,4,46,0.0
183,2,1,1,4,6,KAIST,4,46,0.2899999999999999
43,5,1,1,7,9,KAIST,2,46,0.79
444,5,7,4,2,6,KAIST,1,46,0.0
474,6,5,6,5,2,KAIST,2,46,0.69
203,3,8,8,7,1,KAIST,2,46,0.69
97,2,5,1,6,5,KAIST,4,46,0.39
240,1,2,4,3,9,KAIST,2,46,0.79
359,2,7,6,2,1,KAIST,4,46,0.39
183,4,4,3,5,3,KAIST,4,46,0.2899999999999999
112,3,5,7,3,6,KAIST,4,46,0.1899999999999999
43,1,1,9,8,8,KAIST,2,46,0.79
229,6,2,7,2,8,KAIST,1,46,0.4399999999999999
421,3,9,6,7,4,KAIST,2,46,0.69
359,6,5,9,8,1,KAIST,4,46,0.0835690326834596
474,8,5,7,2,4,KAIST,2,46,0.69
421,2,8,7,8,2,KAIST,2,46,0.69
267,4,2,2,8,8,KAIST,2,46,0.69
267,7,5,1,1,3,KAIST,2,46,0.4547577727855243
421,2,3,3,4,7,KAIST,2,46,0.1976271022692073
421,2,9,9,2,5,KAIST,2,46,0.69
97,3,8,8,8,6,KAIST,4,46,0.0
467,7,8,6,3,4,KAIST,2,46,0.79
267,4,5,8,4,3,KAIST,2,46,0.69
243,7,9,4,5,2,KAIST,1,46,0.3399999999999999
26,2,6,7,4,7,KAIST,2,46,0.79
96,5,7,4,7,6,KAIST,3,46,1.0
203,6,1,8,9,5,KAIST,2,46,0.69
267,1,5,4,4,5,KAIST,2,46,0.69
157,8,5,2,5,5,KAIST,3,46,0.8400000000000001
98,7,7,8,7,6,KAIST,1,46,0.0
467,3,5,4,9,5,KAIST,2,46,0.79
183,6,4,7,4,1,KAIST,4,46,0.2899999999999999
96,6,4,7,4,4,KAIST,3,46,0.6992242886094754
97,8,9,5,4,4,KAIST,4,46,0.0238215335639802
229,2,1,5,4,2,KAIST,1,46,0.2221555552105052
43,6,8,8,1,9,KAIST,2,46,0.79
280,1,5,5,7,8,KAIST,4,46,0.2899999999999999
243,4,4,6,9,4,KAIST,1,46,0.3399999999999999
444,7,1,7,5,4,KAIST,1,46,0.3305626685954428
98,9,6,7,1,9,KAIST,1,46,0.104592047856271
98,3,6,6,8,9,KAIST,1,46,0.3214444920854118
203,1,6,1,7,4,KAIST,2,46,0.4566242313605432
359,3,6,8,2,1,KAIST,4,46,0.39
2,8,5,9,7,3,KAIST,3,46,1.0
97,5,6,8,7,5,KAIST,4,46,0.39
43,4,3,9,3,9,KAIST,2,46,0.79
444,1,5,7,6,1,KAIST,1,46,0.4399999999999999
157,6,9,9,1,6,KAIST,3,46,0.5826680996606435
43,5,3,8,9,5,KAIST,2,46,0.79
26,1,6,5,9,5,KAIST,2,46,0.79
96,1,6,5,7,7,KAIST,3,46,1.0
157,4,4,5,7,6,KAIST,3,46,0.8400000000000001
467,1,9,7,8,4,KAIST,2,46,0.79
359,2,4,2,2,5,KAIST,4,46,0.2019853259734008
2,4,1,9,4,9,KAIST,3,46,1.0
474,6,9,5,4,8,KAIST,2,46,0.69
467,6,2,1,6,2,KAIST,2,46,0.5339775986331473
98,4,6,7,8,7,KAIST,1,46,0.4399999999999999
96,6,2,1,8,8,KAIST,3,46,1.0
444,5,6,5,1,5,KAIST,1,46,0.4399999999999999
43,9,3,4,3,3,KAIST,2,46,0.4938225532207441
243,4,5,2,5,3,KAIST,1,46,0.3399999999999999
240,3,9,8,2,2,KAIST,2,46,0.79
98,8,9,3,8,3,KAIST,1,46,0.4399999999999999
474,5,5,5,5,3,KAIST,2,46,0.69
96,3,2,9,6,3,KAIST,3,46,1.0
474,1,2,4,8,2,KAIST,2,46,0.69
98,7,3,2,8,2,KAIST,1,46,0.4399999999999999
421,4,3,6,4,2,KAIST,2,46,0.4933772295624984
97,9,6,9,3,2,KAIST,4,46,0.073699061285533
183,1,8,4,1,4,KAIST,4,46,0.1076310954885461
97,7,8,4,9,1,KAIST,4,46,0.39
280,8,5,4,1,6,KAIST,4,46,0.0
421,2,5,1,6,3,KAIST,2,46,0.69
112,7,4,7,4,9,KAIST,4,46,0.0
359,4,4,7,7,5,KAIST,4,46,0.2155498887613948
183,8,6,6,4,9,KAIST,4,46,0.0819343214168796
267,9,6,4,6,7,KAIST,2,46,0.69
96,6,7,8,8,3,KAIST,3,46,1.0
243,6,8,9,4,3,KAIST,1,46,0.1331409382930136
243,4,1,9,9,2,KAIST,1,46,0.3399999999999999
444,3,5,5,5,9,KAIST,1,46,0.3322644783248702
2,6,3,3,7,6,KAIST,3,46,1.0
421,7,7,8,8,3,KAIST,2,46,0.230322043498486
98,5,7,5,2,1,KAIST,1,46,0.0674306547462941
203,4,8,9,9,4,KAIST,2,46,0.69
157,6,7,1,2,2,KAIST,3,46,0.502786890007638
240,8,8,4,4,5,KAIST,2,46,0.79
96,1,7,6,8,8,KAIST,3,46,1.0
112,1,6,7,9,4,KAIST,4,46,0.1899999999999999
467,5,9,5,4,7,KAIST,2,46,0.3588897682130659
112,2,7,3,3,2,KAIST,4,46,0.1899999999999999
243,8,3,7,4,5,KAIST,1,46,0.2244441180835025
229,4,7,1,8,5,KAIST,1,46,0.4399999999999999
240,3,3,5,2,8,KAIST,2,46,0.79
421,1,9,3,4,7,KAIST,2,46,0.69
243,1,9,8,5,7,KAIST,1,46,0.3399999999999999
474,1,1,1,7,4,KAIST,2,46,0.69
359,3,1,9,7,8,KAIST,4,46,0.0
43,1,1,5,3,8,KAIST,2,46,0.79
240,6,3,3,3,1,KAIST,2,46,0.79
444,4,2,2,7,4,KAIST,1,46,0.1922951286554212
399,1,4,2,7,2,Hanyang University,1,44,0.54
495,9,9,5,1,3,Hanyang University,1,44,0.4399999999999999
122,5,2,6,6,1,Hanyang University,2,44,0.1985336308180615
204,7,8,1,1,6,Hanyang University,4,44,0.2128202573725708
299,3,2,3,5,2,Hanyang University,2,44,0.6155189479965093
120,7,1,7,8,6,Hanyang University,3,44,1.0
130,7,8,8,6,1,Hanyang University,4,44,0.39
115,8,2,4,3,1,Hanyang University,2,44,0.69
204,2,8,5,4,9,Hanyang University,4,44,0.39
299,6,1,2,5,3,Hanyang University,2,44,0.79
337,1,8,7,5,8,Hanyang University,3,44,1.0
299,5,1,9,7,1,Hanyang University,2,44,0.79
76,5,3,5,1,7,Hanyang University,2,44,0.79
495,2,9,5,3,2,Hanyang University,1,44,0.4399999999999999
172,5,3,5,6,1,Hanyang University,1,44,0.54
363,3,1,8,9,7,Hanyang University,1,44,0.1590507610488802
337,3,2,6,5,4,Hanyang University,3,44,1.0
363,3,5,5,1,8,Hanyang University,1,44,0.54
115,7,8,8,8,8,Hanyang University,2,44,0.69
120,2,2,7,3,3,Hanyang University,3,44,1.0
120,8,9,2,2,8,Hanyang University,3,44,1.0
434,8,1,1,4,5,Hanyang University,1,44,0.4399999999999999
115,7,8,2,1,9,Hanyang University,2,44,0.2003239064672178
204,5,9,8,3,2,Hanyang University,4,44,0.39
199,1,1,9,7,4,Hanyang University,3,44,1.0
177,6,8,1,3,3,Hanyang University,4,44,0.2899999999999999
120,8,2,8,2,7,Hanyang University,3,44,1.0
115,8,1,8,2,5,Hanyang University,2,44,0.2194365516337729
115,8,1,6,6,4,Hanyang University,2,44,0.69
48,5,3,3,3,7,Hanyang University,2,44,0.69
495,9,7,2,2,8,Hanyang University,1,44,0.4399999999999999
199,4,1,4,5,9,Hanyang University,3,44,1.0
122,5,4,5,6,1,Hanyang University,2,44,0.69
399,2,2,9,7,2,Hanyang University,1,44,0.54
363,7,4,7,6,7,Hanyang University,1,44,0.54
199,9,1,8,9,1,Hanyang University,3,44,1.0
199,1,9,1,4,2,Hanyang University,3,44,1.0
120,2,3,1,1,4,Hanyang University,3,44,0.6431194172518452
122,2,3,6,8,7,Hanyang University,2,44,0.69
177,9,1,3,5,8,Hanyang University,4,44,0.2899999999999999
100,3,5,4,7,5,Hanyang University,2,44,0.3646098118061708
122,6,5,7,6,2,Hanyang University,2,44,0.69
120,6,1,1,8,3,Hanyang University,3,44,0.7481701118382333
204,9,4,7,8,1,Hanyang University,4,44,0.2745466270361119
363,7,5,6,2,4,Hanyang University,1,44,0.54
130,6,6,1,6,2,Hanyang University,4,44,0.1286876773018099
199,4,7,4,2,6,Hanyang University,3,44,1.0
122,1,6,4,3,7,Hanyang University,2,44,0.69
177,4,8,1,5,6,Hanyang University,4,44,0.2899999999999999
495,8,2,4,1,5,Hanyang University,1,44,0.3094790110858412
337,4,1,4,5,1,Hanyang University,3,44,1.0
199,1,2,2,3,7,Hanyang University,3,44,1.0
172,2,9,1,5,9,Hanyang University,1,44,0.3346175141301322
299,3,8,1,3,1,Hanyang University,2,44,0.79
76,8,9,3,1,6,Hanyang University,2,44,0.79
100,8,2,3,3,9,Hanyang University,2,44,0.614023792761592
120,8,3,5,6,2,Hanyang University,3,44,0.8157269510666747
495,2,9,5,9,2,Hanyang University,1,44,0.4399999999999999
122,4,2,4,6,7,Hanyang University,2,44,0.69
120,6,5,9,3,7,Hanyang University,3,44,0.6793266107555993
76,4,6,5,4,6,Hanyang University,2,44,0.79
177,9,6,9,6,2,Hanyang University,4,44,0.2899999999999999
122,2,5,4,2,7,Hanyang University,2,44,0.69
177,5,3,2,1,2,Hanyang University,4,44,0.1698209163014513
115,2,3,1,1,3,Hanyang University,2,44,0.69
204,8,6,4,1,7,Hanyang University,4,44,0.39
204,9,1,3,5,7,Hanyang University,4,44,0.39
115,4,7,3,4,9,Hanyang University,2,44,0.69
434,2,5,3,5,9,Hanyang University,1,44,0.4399999999999999
100,9,2,3,7,3,Hanyang University,2,44,0.79
399,3,5,6,1,8,Hanyang University,1,44,0.2279433035237976
130,2,6,5,2,4,Hanyang University,4,44,0.39
100,7,9,5,3,5,Hanyang University,2,44,0.79
48,5,1,9,4,6,Hanyang University,2,44,0.4250913582948803
76,9,5,6,5,2,Hanyang University,2,44,0.5066329549346308
76,3,9,1,2,8,Hanyang University,2,44,0.79
209,5,4,6,7,9,Hanyang University,3,44,0.6472215968357172
299,1,4,8,3,7,Hanyang University,2,44,0.79
399,4,7,2,8,9,Hanyang University,1,44,0.54
130,7,2,7,5,1,Hanyang University,4,44,0.39
115,7,7,9,4,6,Hanyang University,2,44,0.69
199,4,6,8,9,8,Hanyang University,3,44,1.0
172,6,1,4,5,9,Hanyang University,1,44,0.54
209,1,1,5,5,6,Hanyang University,3,44,1.0
76,7,8,1,5,5,Hanyang University,2,44,0.79
489,6,9,5,5,5,Hanyang University,2,44,0.69
199,3,7,9,3,6,Hanyang University,3,44,1.0
48,6,7,8,1,5,Hanyang University,2,44,0.5313696229155174
172,4,2,7,2,2,Hanyang University,1,44,0.3452243284287115
399,9,6,9,5,3,Hanyang University,1,44,0.2657031319896299
204,9,5,8,4,5,Hanyang University,4,44,0.39
76,5,4,6,4,4,Hanyang University,2,44,0.79
204,2,4,9,4,5,Hanyang University,4,44,0.2367099408477748
299,6,3,8,6,8,Hanyang University,2,44,0.79
399,6,7,5,2,1,Hanyang University,1,44,0.1574951359331847
209,8,5,8,1,5,Hanyang University,3,44,0.6917957423543317
130,6,4,3,3,6,Hanyang University,4,44,0.0
199,9,8,6,6,8,Hanyang University,3,44,1.0
100,9,9,6,3,5,Hanyang University,2,44,0.79
204,6,4,6,7,1,Hanyang University,4,44,0.2598936606840951
120,5,3,3,2,5,Hanyang University,3,44,1.0
299,5,1,3,7,4,Hanyang University,2,44,0.79
172,6,3,3,6,4,Hanyang University,1,44,0.54
495,7,3,5,5,1,Hanyang University,1,44,0.2196114008690894
48,5,7,4,5,1,Hanyang University,2,44,0.69
172,8,5,1,4,3,Hanyang University,1,44,0.54
495,7,9,8,9,5,Hanyang University,1,44,0.4399999999999999
172,8,2,1,8,3,Hanyang University,1,44,0.54
172,7,1,6,8,4,Hanyang University,1,44,0.3668775306674051
48,1,2,5,8,6,Hanyang University,2,44,0.69
172,9,5,8,6,6,Hanyang University,1,44,0.54
122,4,6,1,8,8,Hanyang University,2,44,0.69
489,7,8,4,9,2,Hanyang University,2,44,0.4662737541647269
489,9,6,5,7,7,Hanyang University,2,44,0.69
495,7,5,3,3,5,Hanyang University,1,44,0.2323813315605294
100,4,7,3,8,9,Hanyang University,2,44,0.79
209,7,7,9,9,3,Hanyang University,3,44,1.0
489,5,9,7,9,9,Hanyang University,2,44,0.69
120,5,6,3,7,2,Hanyang University,3,44,1.0
120,2,6,4,3,8,Hanyang University,3,44,0.7868713284160849
172,5,2,8,1,5,Hanyang University,1,44,0.2374288074827315
115,1,3,2,7,2,Hanyang University,2,44,0.69
204,3,9,8,6,4,Hanyang University,4,44,0.39
172,5,4,9,8,8,Hanyang University,1,44,0.0896821257928508
177,6,1,2,9,9,Hanyang University,4,44,0.2899999999999999
120,2,3,1,8,5,Hanyang University,3,44,1.0
363,2,1,6,3,9,Hanyang University,1,44,0.2302766119513019
100,6,6,4,5,3,Hanyang University,2,44,0.563294640367026
434,8,8,7,5,4,Hanyang University,1,44,0.4399999999999999
363,5,2,6,6,3,Hanyang University,1,44,0.54
76,2,1,3,6,4,Hanyang University,2,44,0.79
76,2,1,2,5,5,Hanyang University,2,44,0.79
48,4,8,8,8,2,Hanyang University,2,44,0.69
363,9,8,3,4,7,Hanyang University,1,44,0.2948582540399055
122,1,8,4,9,9,Hanyang University,2,44,0.69
130,4,8,3,6,9,Hanyang University,4,44,0.0638618244544306
