Name,Gender,Age,Subject,Preferred_time,Location
선생님43,남자,28,"국어, 수학",평일 오후,강북구 미아동
선생님44,남자,29,"국어, 과학",주말 오전,광진구 중곡1동
선생님45,남자,20,"수학, 과학",주말 오전,강남구 청담동
선생님46,남자,20,"과학, 영어, 사회, 수학",평일 오후,강동구 강일동
선생님47,여자,28,영어,주말 오전,관악구 은천동
선생님48,여자,29,"국어, 수학, 과학, 사회, 영어",주말 오후,강남구 신사동
선생님49,여자,23,"국어, 과학, 수학, 영어",평일 오후,강서구 염창동
선생님50,남자,27,"국어, 과학, 사회, 영어",주말 오후,광진구 중곡1동
선생님51,남자,29,사회,주말 오전,강북구 미아동
선생님52,여자,22,"과학, 영어, 사회",주말 오전,강남구 청담동
선생님53,남자,27,"사회, 수학",주말 오후,강서구 염창동
선생님54,여자,27,"사회, 수학",주말 오전,강남구 청담동
선생님55,여자,21,"과학, 영어, 수학",평일 오후,강남구 신사동
선생님56,남자,30,"수학, 사회",평일 오후,강동구 강일동
선생님57,남자,22,"수학, 영어, 사회",평일 오후,관악구 은천동
선생님58,남자,30,"영어, 국어, 사회, 과학, 수학",주말 오전,강남구 청담동
선생님59,여자,20,영어,평일 오후,강동구 강일동
선생님60,남자,30,"국어, 사회",평일 오후,강남구 청담동
선생님61,남자,26,"과학, 수학, 영어",평일 오전,강동구 강일동
선생님62,남자,26,"영어, 사회, 국어",주말 오전,광진구 중곡1동
선생님63,여자,20,"사회, 과학",주말 오전,광진구 중곡1동
선생님64,남자,29,"국어, 사회",주말 오전,강서구 염창동
선생님65,여자,28,"과학, 국어, 수학",주말 오후,강남구 청담동
선생님66,남자,21,"사회, 국어, 과학, 수학",평일 오전,광진구 중곡1동
선생님67,여자,28,"국어, 과학, 수학, 사회, 영어",주말 오전,강동구 강일동
선생님68,남자,29,국어,평일 오후,강남구 청담동
선생님69,남자,26,"과학, 국어",주말 오전,강동구 강일동
선생님70,남자,28,과학,주말 오후,강동구 강일동
선생님71,여자,28,"수학, 영어",주말 오후,광진구 중곡1동
선생님72,여자,24,수학,평일 오전,강동구 강일동
선생님73,여자,21,"사회, 영어",주말 오전,광진구 중곡1동
선생님74,남자,30,"과학, 수학",평일 오후,강남구 청담동
선생님75,여자,25,"국어, 영어, 수학",주말 오전,강남구 청담동
선생님76,남자,24,"국어, 사회, 영어, 수학, 과학",평일 오전,강남구 논현1동
선생님77,남자,22,"사회, 과학, 수학, 국어, 영어",평일 오전,광진구 중곡1동
선생님78,남자,26,"국어, 사회",주말 오전,강남구 논현1동
선생님79,남자,26,"사회, 수학, 과학, 영어, 국어",주말 오전,관악구 은천동
선생님80,남자,25,수학,평일 오전,강남구 논현1동
선생님81,여자,20,"국어, 영어, 사회, 과학, 수학",주말 오후,광진구 중곡1동
선생님82,여자,25,사회,평일 오후,강남구 논현1동
선생님83,남자,26,국어,평일 오후,관악구 은천동
선생님84,남자,20,"사회, 국어",주말 오전,강남구 논현1동
선생님85,여자,29,과학,평일 오전,강남구 청담동
선생님86,여자,27,"영어, 국어, 과학, 수학, 사회",주말 오전,강남구 논현1동
선생님87,여자,24,"국어, 사회, 영어",평일 오전,강동구 강일동
선생님88,남자,29,"수학, 사회, 국어, 영어",주말 오전,강남구 청담동
선생님89,여자,28,국어,평일 오전,강남구 신사동
선생님90,여자,27,"영어, 국어, 사회, 수학, 과학",주말 오전,광진구 중곡1동
선생님91,여자,29,"과학, 국어",주말 오후,강북구 미아동
선생님92,남자,25,"국어, 영어",주말 오후,관악구 은천동
선생님93,남자,30,"사회, 과학",평일 오전,관악구 은천동
선생님94,여자,22,"국어, 과학, 영어, 수학",주말 오후,강북구 미아동
선생님95,여자,26,"수학, 과학",주말 오후,강남구 청담동
선생님96,남자,29,"사회, 수학, 과학",평일 오전,관악구 은천동
선생님97,여자,22,"사회, 과학, 국어, 수학, 영어",주말 오후,광진구 중곡1동
선생님98,남자,27,"영어, 수학",주말 오전,강북구 미아동
선생님99,남자,21,"과학, 영어, 사회, 수학, 국어",주말 오후,강서구 염창동
선생님100,남자,26,사회,평일 오전,강서구 염창동
선생님101,남자,30,수학,평일 오전,광진구 중곡1동
선생님102,여자,30,"영어, 수학, 과학, 국어",평일 오후,강북구 미아동
선생님103,여자,30,"영어, 과학, 국어, 사회",주말 오전,강남구 청담동
선생님104,여자,28,"국어, 영어, 과학",평일 오전,관악구 은천동
선생님105,남자,26,"사회, 국어, 과학, 영어, 수학",평일 오후,광진구 중곡1동
선생님106,여자,27,"국어, 과학",평일 오후,강서구 염창동
선생님107,여자,20,"과학, 사회, 수학, 영어",주말 오후,강남구 신사동
선생님108,여자,26,"수학, 사회, 국어",평일 오전,강남구 청담동
선생님109,남자,22,국어,평일 오후,강북구 미아동
선생님110,여자,21,"국어, 과학, 사회, 수학, 영어",주말 오전,강남구 청담동
선생님111,남자,28,"국어, 영어",주말 오전,강남구 청담동
선생님112,남자,29,수학,평일 오전,강동구 강일동
선생님113,남자,30,"영어, 국어, 사회",주말 오전,광진구 중곡1동
선생님114,여자,25,"수학, 영어, 사회, 과학, 국어",주말 오전,강동구 강일동
선생님115,남자,26,"과학, 영어, 사회",평일 오전,강남구 논현1동
선생님116,남자,27,"영어, 수학",평일 오후,강남구 논현1동
선생님117,여자,29,"영어, 수학",평일 오전,관악구 은천동
선생님118,남자,25,"수학, 과학",평일 오후,강남구 논현1동
선생님119,남자,24,"수학, 사회",평일 오후,관악구 은천동
선생님120,여자,28,"과학, 수학",평일 오전,관악구 은천동
선생님121,남자,23,국어,평일 오전,강북구 미아동
선생님122,남자,28,"사회, 국어, 과학, 영어",주말 오후,강남구 신사동
선생님123,남자,27,"국어, 영어",평일 오후,강동구 강일동
선생님124,남자,26,국어,주말 오후,관악구 은천동
선생님125,여자,27,"과학, 영어, 수학",평일 오전,강남구 논현1동
선생님126,남자,22,"영어, 사회, 과학, 수학",주말 오전,강서구 염창동
선생님127,남자,23,국어,주말 오후,강서구 염창동
선생님128,여자,30,"과학, 사회",평일 오전,광진구 중곡1동
선생님129,여자,25,"사회, 국어",평일 오후,강남구 신사동
선생님130,남자,20,"과학, 수학",주말 오전,강서구 염창동
선생님131,남자,26,"사회, 과학, 수학, 영어, 국어",평일 오후,관악구 은천동
선생님132,남자,22,"사회, 과학, 수학, 영어",평일 오후,강남구 청담동
선생님133,여자,24,과학,주말 오전,강남구 논현1동
선생님134,남자,22,사회,평일 오전,강남구 청담동
선생님135,남자,28,"과학, 영어",평일 오전,강북구 미아동
선생님136,남자,24,"과학, 영어, 수학, 사회, 국어",주말 오후,강북구 미아동
선생님137,남자,28,"사회, 국어",주말 오후,강서구 염창동
선생님138,남자,20,"사회, 과학, 국어, 수학",평일 오후,강서구 염창동
선생님139,남자,30,"국어, 과학, 영어, 사회",평일 오전,강남구 신사동
선생님140,남자,29,"수학, 과학, 사회, 영어",평일 오후,광진구 중곡1동
선생님141,남자,22,"사회, 과학, 국어, 영어, 수학",평일 오전,관악구 은천동
선생님142,남자,28,"국어, 과학",주말 오전,강동구 강일동
선생님143,여자,24,"수학, 영어, 과학, 국어, 사회",주말 오후,광진구 중곡1동
선생님144,여자,25,"국어, 과학, 사회, 영어",주말 오전,광진구 중곡1동
선생님145,남자,25,국어,평일 오전,관악구 은천동
선생님146,여자,21,"과학, 사회, 국어, 영어",평일 오후,강북구 미아동
선생님147,남자,24,과학,평일 오후,강북구 미아동
선생님148,남자,22,"영어, 사회, 수학, 과학, 국어",주말 오후,광진구 중곡1동
선생님149,여자,27,"사회, 과학, 수학",평일 오후,강북구 미아동
선생님150,남자,21,국어,주말 오후,강북구 미아동
선생님151,남자,26,"영어, 수학, 과학, 국어",주말 오전,강북구 미아동
선생님152,여자,22,"영어, 수학, 국어, 과학, 사회",주말 오후,강남구 논현1동
선생님153,여자,26,"영어, 수학, 사회, 국어",주말 오후,강동구 강일동
선생님154,여자,30,"국어, 사회",주말 오전,강남구 신사동
선생님155,남자,30,"국어, 사회, 수학, 영어",평일 오전,강북구 미아동
선생님156,남자,25,"국어, 영어, 사회, 과학",평일 오전,강남구 논현1동
선생님157,여자,28,"수학, 영어",평일 오전,광진구 중곡1동
선생님158,여자,26,"수학, 국어, 사회",주말 오후,광진구 중곡1동
선생님159,여자,22,"영어, 국어, 수학",평일 오후,관악구 은천동
선생님160,여자,27,"사회, 과학, 국어, 영어, 수학",평일 오전,강동구 강일동
선생님161,여자,21,"과학, 영어, 국어, 수학",평일 오후,강동구 강일동
선생님162,여자,24,"과학, 사회, 영어, 수학, 국어",평일 오전,광진구 중곡1동
선생님163,여자,29,사회,주말 오후,광진구 중곡1동
선생님164,여자,24,"사회, 국어",평일 오후,강남구 논현1동
선생님165,남자,30,"국어, 과학, 수학, 영어",주말 오후,관악구 은천동
선생님166,남자,29,수학,평일 오전,관악구 은천동
선생님167,남자,25,수학,평일 오후,강남구 청담동
선생님168,여자,22,"국어, 수학, 영어, 과학, 사회",평일 오전,강남구 신사동
선생님169,남자,26,사회,주말 오전,광진구 중곡1동
선생님170,남자,30,사회,평일 오후,관악구 은천동
선생님171,남자,22,"과학, 수학, 사회",평일 오전,광진구 중곡1동
선생님172,남자,26,"국어, 과학",평일 오전,강남구 청담동
선생님173,남자,25,과학,평일 오전,관악구 은천동
선생님174,남자,30,국어,평일 오후,강북구 미아동
선생님175,남자,29,"국어, 사회, 수학, 과학",평일 오후,강남구 청담동
선생님176,여자,25,"국어, 과학",평일 오전,강남구 청담동
선생님177,남자,26,영어,주말 오후,강서구 염창동
선생님178,여자,29,과학,평일 오후,강남구 논현1동
선생님179,여자,26,"과학, 사회, 영어",평일 오후,관악구 은천동
선생님180,남자,23,"수학, 영어, 국어",주말 오후,광진구 중곡1동
선생님181,남자,28,"사회, 수학, 영어",주말 오후,강남구 논현1동
선생님182,여자,25,"수학, 과학, 국어",평일 오전,강남구 신사동
선생님183,남자,26,"과학, 수학, 사회, 영어",주말 오전,강남구 신사동
선생님184,여자,28,"국어, 과학, 사회",주말 오후,관악구 은천동
선생님185,남자,24,"사회, 국어, 영어",주말 오후,강동구 강일동
선생님186,여자,24,"과학, 국어, 수학, 영어",평일 오후,강서구 염창동
선생님187,남자,20,영어,평일 오후,강북구 미아동
선생님188,남자,27,"과학, 수학, 사회, 국어",주말 오후,강남구 논현1동
선생님189,남자,22,"수학, 사회, 영어",주말 오전,강남구 신사동
선생님190,남자,22,"사회, 국어, 수학, 영어, 과학",평일 오후,강남구 청담동
선생님191,남자,28,"수학, 국어, 영어",평일 오전,강서구 염창동
선생님192,여자,26,"사회, 국어",평일 오전,관악구 은천동
선생님193,여자,24,"과학, 수학, 국어, 사회, 영어",평일 오후,관악구 은천동
선생님194,남자,26,"과학, 영어, 국어",주말 오전,강남구 논현1동
선생님195,남자,21,"영어, 과학, 사회",주말 오전,강남구 청담동
선생님196,여자,20,"수학, 영어, 사회, 과학",평일 오후,강남구 청담동
선생님197,여자,21,"사회, 영어, 수학, 과학, 국어",주말 오후,광진구 중곡1동
선생님198,남자,25,"과학, 수학",주말 오후,관악구 은천동
선생님199,여자,30,"국어, 사회, 과학, 수학",주말 오후,강남구 청담동
선생님200,여자,24,"수학, 영어, 사회",평일 오전,강서구 염창동
선생님201,남자,24,"과학, 사회, 수학, 국어",주말 오전,광진구 중곡1동
선생님202,여자,26,사회,주말 오전,관악구 은천동
선생님203,남자,29,"과학, 영어, 사회",주말 오전,강남구 청담동
선생님204,여자,25,"사회, 과학, 국어, 영어, 수학",평일 오전,관악구 은천동
선생님205,남자,20,"영어, 과학, 사회, 국어",주말 오전,강남구 논현1동
선생님206,여자,27,"수학, 과학, 국어, 영어",주말 오후,강남구 신사동
선생님207,남자,22,과학,평일 오전,관악구 은천동
선생님208,남자,27,"과학, 사회, 국어",평일 오전,강동구 강일동
선생님209,남자,27,"수학, 영어, 과학",주말 오전,강북구 미아동
선생님210,여자,28,"영어, 수학, 사회",주말 오전,강서구 염창동
선생님211,남자,25,"수학, 과학, 국어, 사회",평일 오후,강남구 신사동
선생님212,여자,21,"국어, 수학, 사회, 영어, 과학",주말 오후,관악구 은천동
선생님213,남자,24,"국어, 수학, 과학",주말 오전,강북구 미아동
선생님214,여자,20,"과학, 수학, 영어, 사회, 국어",평일 오후,강남구 신사동
선생님215,여자,20,"국어, 수학, 과학, 사회, 영어",평일 오전,관악구 은천동
선생님216,남자,24,"영어, 국어, 과학, 사회, 수학",평일 오전,강남구 논현1동
선생님217,여자,20,과학,주말 오전,강남구 청담동
선생님218,여자,25,"수학, 국어, 사회, 영어, 과학",평일 오전,강남구 논현1동
선생님219,남자,23,"과학, 수학, 영어",주말 오후,강북구 미아동
선생님220,남자,28,"사회, 수학, 영어, 국어, 과학",평일 오후,강서구 염창동
선생님221,남자,25,"과학, 국어",주말 오후,강서구 염창동
선생님222,여자,24,과학,평일 오후,강북구 미아동
선생님223,여자,28,"국어, 과학",평일 오후,강서구 염창동
선생님224,여자,28,"국어, 영어, 과학, 사회, 수학",평일 오후,강북구 미아동
선생님225,여자,21,영어,주말 오후,강남구 신사동
선생님226,남자,29,"국어, 과학, 수학, 영어",평일 오후,관악구 은천동
선생님227,남자,26,"국어, 과학, 영어, 사회",주말 오후,관악구 은천동
선생님228,남자,26,"국어, 사회",평일 오후,강남구 논현1동
선생님229,여자,22,"사회, 과학, 국어",평일 오전,강남구 청담동
선생님230,남자,29,"사회, 국어",주말 오전,강동구 강일동
선생님231,남자,24,"과학, 영어",평일 오전,강동구 강일동
선생님232,남자,23,"국어, 사회",평일 오전,강남구 논현1동
선생님233,여자,24,"수학, 사회, 국어, 영어",주말 오전,강남구 청담동
선생님234,남자,23,수학,평일 오전,강남구 논현1동
선생님235,여자,26,"수학, 영어",평일 오후,강남구 청담동
선생님236,남자,21,"영어, 수학, 사회, 국어, 과학",평일 오전,강북구 미아동
선생님237,남자,22,국어,주말 오전,강남구 신사동
선생님238,여자,27,"수학, 국어, 영어",주말 오후,강동구 강일동
선생님239,남자,29,"수학, 과학, 국어, 영어, 사회",평일 오후,강남구 신사동
선생님240,남자,22,과학,평일 오후,관악구 은천동
선생님241,여자,24,과학,주말 오전,광진구 중곡1동
선생님242,남자,26,국어,주말 오후,강남구 논현1동
선생님243,남자,27,"수학, 과학, 사회, 영어",평일 오전,강남구 신사동
선생님244,여자,20,수학,주말 오전,강서구 염창동
선생님245,남자,23,"과학, 영어, 사회",평일 오전,강동구 강일동
선생님246,남자,28,"수학, 사회",평일 오전,강남구 신사동
선생님247,남자,29,"국어, 사회, 수학, 영어, 과학",평일 오후,강남구 논현1동
선생님248,여자,27,"국어, 사회, 수학",평일 오후,강서구 염창동
선생님249,남자,28,"국어, 사회, 과학",주말 오후,강남구 청담동
선생님250,남자,20,"사회, 수학",주말 오전,강남구 논현1동
선생님251,여자,21,"수학, 국어, 영어, 사회, 과학",주말 오전,강남구 청담동
선생님252,남자,29,"과학, 수학, 영어, 국어, 사회",주말 오전,강동구 강일동
선생님253,여자,25,"영어, 과학, 수학, 국어",주말 오후,강동구 강일동
선생님254,여자,26,"국어, 영어, 과학",평일 오후,강동구 강일동
선생님255,남자,28,"사회, 영어, 과학, 국어",주말 오후,강북구 미아동
선생님256,남자,29,"수학, 영어, 사회",주말 오전,강남구 신사동
선생님257,여자,26,"수학, 사회, 국어, 영어, 과학",평일 오전,관악구 은천동
선생님258,남자,27,"영어, 사회, 국어, 수학, 과학",주말 오전,강서구 염창동
선생님259,여자,22,"사회, 국어, 수학, 과학, 영어",주말 오후,강북구 미아동
선생님260,남자,23,"국어, 영어",평일 오후,강남구 논현1동
선생님261,남자,20,"영어, 수학, 사회",평일 오후,관악구 은천동
선생님262,여자,23,과학,주말 오전,관악구 은천동
선생님263,남자,20,영어,평일 오전,관악구 은천동
선생님264,남자,20,"사회, 국어, 과학",주말 오전,강남구 청담동
선생님265,여자,27,사회,주말 오전,강남구 신사동
선생님266,남자,28,국어,주말 오전,강동구 강일동
선생님267,남자,20,"영어, 사회",주말 오후,강남구 청담동
선생님268,여자,29,"영어, 수학, 과학, 국어",주말 오후,강북구 미아동
선생님269,남자,30,"수학, 과학",평일 오후,강남구 신사동
선생님270,남자,30,"국어, 수학, 영어, 사회, 과학",평일 오전,강동구 강일동
선생님271,남자,26,"국어, 과학",평일 오후,강남구 신사동
선생님272,남자,25,과학,평일 오후,관악구 은천동
선생님273,남자,24,과학,주말 오후,강북구 미아동
선생님274,여자,24,"수학, 사회, 과학, 영어",주말 오후,강남구 청담동
선생님275,남자,26,"영어, 수학, 국어",평일 오전,광진구 중곡1동
선생님276,남자,29,"수학, 영어, 사회",평일 오전,관악구 은천동
선생님277,남자,21,"영어, 사회, 수학, 과학, 국어",주말 오전,강북구 미아동
선생님278,여자,24,"국어, 영어, 과학, 수학",평일 오전,강동구 강일동
선생님279,남자,30,"사회, 국어",주말 오후,강남구 논현1동
선생님280,여자,24,"국어, 과학, 영어, 사회, 수학",주말 오후,강남구 청담동
선생님281,여자,21,"사회, 과학, 수학, 국어, 영어",평일 오전,강남구 신사동
선생님282,남자,22,사회,평일 오후,강남구 신사동
선생님283,여자,21,"사회, 과학",주말 오후,강서구 염창동
선생님284,여자,27,"과학, 사회, 국어",평일 오전,강남구 청담동
선생님285,남자,20,국어,평일 오전,강북구 미아동
선생님286,여자,27,"과학, 사회, 영어, 국어, 수학",평일 오후,광진구 중곡1동
선생님287,여자,26,"수학, 영어, 국어, 과학",주말 오전,강남구 신사동
선생님288,남자,20,"영어, 국어, 수학",주말 오후,강서구 염창동
선생님289,남자,30,국어,주말 오전,관악구 은천동
선생님290,여자,27,"수학, 과학",평일 오후,광진구 중곡1동
선생님291,여자,24,"영어, 국어, 수학, 과학, 사회",평일 오전,광진구 중곡1동
선생님292,남자,20,"영어, 수학",주말 오전,강동구 강일동
선생님293,남자,26,"사회, 영어, 과학, 국어, 수학",평일 오후,광진구 중곡1동
선생님294,여자,23,"영어, 수학, 과학, 국어, 사회",평일 오후,강동구 강일동
선생님295,여자,20,국어,평일 오후,강남구 논현1동
선생님296,여자,27,"영어, 국어",평일 오후,강동구 강일동
선생님297,남자,23,"과학, 사회, 영어, 국어, 수학",주말 오후,강남구 청담동
선생님298,여자,29,"수학, 과학",주말 오전,강동구 강일동
선생님299,남자,28,"과학, 영어, 수학",평일 오전,강서구 염창동
선생님300,남자,21,"영어, 사회, 과학, 국어, 수학",주말 오전,강동구 강일동
선생님301,남자,26,"과학, 국어, 수학, 사회",주말 오후,강남구 청담동
선생님302,여자,22,"영어, 수학, 국어, 과학, 사회",평일 오전,강남구 청담동
선생님303,여자,27,"국어, 사회",주말 오후,강북구 미아동
선생님304,여자,27,"국어, 영어, 수학",주말 오전,강서구 염창동
선생님305,남자,22,"과학, 국어",주말 오후,광진구 중곡1동
선생님306,여자,23,국어,주말 오전,강남구 청담동
선생님307,여자,24,"사회, 영어, 과학, 국어",평일 오전,강북구 미아동
선생님308,남자,29,"영어, 사회, 국어, 수학",주말 오전,광진구 중곡1동
선생님309,남자,23,"영어, 수학, 과학, 국어",주말 오전,광진구 중곡1동
선생님310,남자,24,"국어, 수학",평일 오전,강동구 강일동
선생님311,여자,29,"사회, 영어",주말 오후,강동구 강일동
선생님312,여자,30,"과학, 수학, 영어, 국어",주말 오후,강서구 염창동
선생님313,남자,26,"사회, 영어, 수학, 국어",주말 오후,강동구 강일동
선생님314,여자,21,"국어, 과학, 수학, 사회, 영어",평일 오후,강남구 신사동
선생님315,여자,27,영어,평일 오후,강남구 청담동
선생님316,남자,21,"과학, 영어, 수학, 국어, 사회",평일 오전,강남구 논현1동
선생님317,남자,29,사회,주말 오후,관악구 은천동
선생님318,여자,25,"영어, 국어",평일 오후,강서구 염창동
선생님319,여자,22,"과학, 국어, 수학, 영어, 사회",평일 오후,관악구 은천동
선생님320,남자,21,"과학, 사회, 영어, 국어, 수학",평일 오후,강남구 청담동
선생님321,남자,27,"수학, 사회, 국어",주말 오전,강남구 신사동
선생님322,여자,23,"과학, 수학, 국어, 사회",평일 오후,강동구 강일동
선생님323,남자,29,"국어, 과학, 사회, 수학, 영어",평일 오전,광진구 중곡1동
선생님324,여자,23,"과학, 사회",주말 오후,강서구 염창동
선생님325,여자,30,"수학, 영어, 과학, 사회, 국어",주말 오전,강남구 신사동
선생님326,여자,26,영어,주말 오후,강북구 미아동
선생님327,남자,22,"사회, 수학, 과학, 국어, 영어",평일 오전,강남구 신사동
선생님328,남자,28,사회,평일 오전,강북구 미아동
선생님329,남자,26,"국어, 수학, 사회",평일 오전,광진구 중곡1동
선생님330,남자,26,"국어, 과학, 영어",주말 오전,강북구 미아동
선생님331,남자,25,"사회, 수학, 국어, 영어",평일 오전,광진구 중곡1동
선생님332,남자,22,"사회, 영어, 수학",평일 오후,광진구 중곡1동
선생님333,남자,25,사회,주말 오전,강남구 논현1동
선생님334,남자,30,"국어, 과학, 영어",평일 오전,관악구 은천동
선생님335,여자,29,"국어, 영어, 수학",주말 오전,광진구 중곡1동
선생님336,남자,30,"사회, 국어, 과학, 수학, 영어",주말 오전,강북구 미아동
선생님337,남자,29,"과학, 사회",주말 오후,강서구 염창동
선생님338,남자,23,사회,평일 오후,강북구 미아동
선생님339,남자,20,"영어, 과학",주말 오후,강남구 논현1동
선생님340,여자,29,"국어, 수학, 영어, 사회",주말 오후,강서구 염창동
선생님341,여자,22,"과학, 수학, 사회, 영어",주말 오후,강동구 강일동
선생님342,남자,30,"사회, 과학, 영어, 국어",평일 오후,강북구 미아동
선생님343,여자,26,"수학, 영어",평일 오전,강남구 논현1동
선생님344,여자,21,과학,주말 오후,광진구 중곡1동
선생님345,여자,25,"사회, 영어, 수학, 국어",평일 오후,강서구 염창동
선생님346,여자,27,"수학, 과학, 영어",평일 오후,강북구 미아동
선생님347,여자,30,"과학, 수학, 사회",평일 오전,강서구 염창동
선생님348,여자,29,"수학, 과학, 영어, 국어, 사회",평일 오후,광진구 중곡1동
선생님349,여자,30,"국어, 영어, 수학, 사회",주말 오전,강북구 미아동
선생님350,여자,21,"영어, 국어, 과학",평일 오후,강남구 신사동
선생님351,여자,29,국어,평일 오후,강남구 신사동
선생님352,남자,20,"사회, 국어",평일 오전,강남구 논현1동
선생님353,남자,24,과학,평일 오후,강남구 논현1동
선생님354,여자,23,"과학, 영어, 사회, 국어",주말 오후,강남구 청담동
선생님355,남자,23,"국어, 사회, 수학",주말 오전,강서구 염창동
선생님356,남자,23,"과학, 영어, 수학, 국어",평일 오후,강남구 신사동
선생님357,여자,23,"사회, 수학",평일 오후,강서구 염창동
선생님358,여자,23,"수학, 영어, 과학, 국어",평일 오후,강남구 신사동
선생님359,남자,30,"영어, 과학",평일 오전,광진구 중곡1동
선생님360,남자,30,"영어, 과학, 사회, 수학",주말 오전,강서구 염창동
선생님361,여자,22,"영어, 과학",주말 오후,광진구 중곡1동
선생님362,여자,25,"사회, 수학, 과학, 영어, 국어",주말 오전,관악구 은천동
선생님363,남자,24,"영어, 사회",평일 오전,관악구 은천동
선생님364,여자,20,"영어, 수학, 과학, 사회, 국어",평일 오후,강남구 신사동
선생님365,여자,29,"국어, 사회, 수학, 과학, 영어",평일 오전,강남구 논현1동
선생님366,남자,23,"과학, 수학",평일 오전,강동구 강일동
선생님367,남자,25,"수학, 과학, 국어, 사회",평일 오전,강남구 논현1동
선생님368,여자,22,"국어, 과학, 수학, 사회",주말 오후,강북구 미아동
선생님369,여자,21,"국어, 과학, 사회, 영어",평일 오전,강서구 염창동
선생님370,남자,26,"사회, 수학, 영어",평일 오후,광진구 중곡1동
선생님371,남자,22,"사회, 수학, 과학, 국어, 영어",주말 오전,강북구 미아동
선생님372,여자,23,과학,평일 오전,강남구 논현1동
선생님373,여자,24,과학,평일 오전,강북구 미아동
선생님374,여자,29,"과학, 사회, 국어, 수학",평일 오후,강동구 강일동
선생님375,여자,28,"수학, 영어",주말 오전,강남구 논현1동
선생님376,여자,27,"영어, 사회, 과학, 국어",주말 오후,강남구 논현1동
선생님377,남자,24,국어,평일 오후,강동구 강일동
선생님378,남자,20,"과학, 사회",평일 오전,광진구 중곡1동
선생님379,여자,24,"영어, 사회, 수학, 과학",주말 오후,관악구 은천동
선생님380,남자,26,"사회, 과학, 수학, 국어",주말 오후,광진구 중곡1동
선생님381,남자,24,"영어, 사회, 국어, 수학, 과학",평일 오후,강동구 강일동
선생님382,여자,23,국어,주말 오전,관악구 은천동
선생님383,여자,23,"영어, 사회, 국어, 과학",평일 오후,강동구 강일동
선생님384,여자,30,"과학, 사회, 수학, 국어",주말 오후,광진구 중곡1동
선생님385,남자,23,"과학, 국어",평일 오전,강남구 청담동
선생님386,여자,26,"사회, 수학, 과학, 영어",주말 오후,관악구 은천동
